Annot	Term	Annotated	Significant	Pvalue	Padj	GeneID
GO:0006084	acetyl-CoA metabolic process	30	4	2.27E-08	2.36E-05	"Acly,Acaca,Fasn,Acss2"
GO:0006637	acyl-CoA metabolic process	72	4	8.28E-07	0.00023812	"Acly,Acaca,Fasn,Acss2"
GO:0035383	thioester metabolic process	72	4	8.28E-07	0.00023812	"Acly,Acaca,Fasn,Acss2"
GO:0006631	fatty acid metabolic process	344	6	1.03E-06	0.00023812	"Acsbg1,Acly,Acaca,Fasn,Acss2,Cpt1a"
GO:0006629	lipid metabolic process	1160	9	1.14E-06	0.00023812	"Acsbg1,Angptl4,Acly,Acaca,Fasn,Hmgcs2,Lipf,Acss2,Cpt1a"
GO:0044710	single-organism metabolic process	3622	14	1.80E-06	0.000311696	"Acsbg1,Aldh1l1,Angptl4,Acly,Acaca,Fasn,Hmgcs2,Adcyap1r1,Slc5a7,Lipf,Acss2,Ntrk3,Cpt1a,Slc5a3"
GO:0044281	small molecule metabolic process	1735	10	3.58E-06	0.000532071	"Acsbg1,Aldh1l1,Acly,Acaca,Fasn,Hmgcs2,Adcyap1r1,Acss2,Cpt1a,Slc5a3"
GO:0044283	small molecule biosynthetic process	444	6	4.48E-06	0.000583566	"Acly,Acaca,Fasn,Hmgcs2,Adcyap1r1,Acss2"
GO:0006633	fatty acid biosynthetic process	121	4	6.61E-06	0.000764754	"Acly,Acaca,Fasn,Acss2"
GO:0006732	coenzyme metabolic process	285	5	9.00E-06	0.000936604	"Aldh1l1,Acly,Acaca,Fasn,Acss2"
GO:0032787	monocarboxylic acid metabolic process	513	6	1.02E-05	0.000968643	"Acsbg1,Acly,Acaca,Fasn,Acss2,Cpt1a"
GO:0019752	carboxylic acid metabolic process	803	7	1.12E-05	0.000968643	"Acsbg1,Aldh1l1,Acly,Acaca,Fasn,Acss2,Cpt1a"
GO:0043436	oxoacid metabolic process	862	7	1.77E-05	0.001314948	"Acsbg1,Aldh1l1,Acly,Acaca,Fasn,Acss2,Cpt1a"
GO:0044255	cellular lipid metabolic process	862	7	1.77E-05	0.001314948	"Acsbg1,Acly,Acaca,Fasn,Hmgcs2,Acss2,Cpt1a"
GO:0006082	organic acid metabolic process	874	7	1.93E-05	0.001341945	"Acsbg1,Aldh1l1,Acly,Acaca,Fasn,Acss2,Cpt1a"
GO:0051186	cofactor metabolic process	348	5	2.35E-05	0.001532204	"Aldh1l1,Acly,Acaca,Fasn,Acss2"
GO:0072330	monocarboxylic acid biosynthetic process	170	4	2.53E-05	0.001547901	"Acly,Acaca,Fasn,Acss2"
GO:0016053	organic acid biosynthetic process	250	4	0.00011322	0.006203266	"Acly,Acaca,Fasn,Acss2"
GO:0046394	carboxylic acid biosynthetic process	250	4	0.00011322	0.006203266	"Acly,Acaca,Fasn,Acss2"
GO:0044711	single-organism biosynthetic process	1174	7	0.000126226	0.006397594	"Acly,Acaca,Fasn,Hmgcs2,Adcyap1r1,Slc5a7,Acss2"
GO:0008610	lipid biosynthetic process	499	5	0.000129956	0.006397594	"Acly,Acaca,Fasn,Hmgcs2,Acss2"
GO:0006085	acetyl-CoA biosynthetic process	17	2	0.000135204	0.006397594	"Acly,Acss2"
GO:0006790	sulfur compound metabolic process	265	4	0.000141674	0.006412269	"Acly,Acaca,Fasn,Acss2"
GO:0035384	thioester biosynthetic process	20	2	0.000188534	0.007850541	"Acly,Acss2"
GO:0071616	acyl-CoA biosynthetic process	20	2	0.000188534	0.007850541	"Acly,Acss2"
GO:0044763	single-organism cellular process	9986	19	0.000288226	0.011540142	"Acsbg1,Arntl,Aldh1l1,Angptl4,Tppp3,Acly,F7,Ddit3,Tst,Acaca,Fasn,Hmgcs2,Adcyap1r1,Slc5a7,Ntrk3,Acss2,Cpt1a,Slc5a3,Ankrd2"
GO:0050927	positive regulation of positive chemotaxis	26	2	0.000321285	0.012387311	"F7,Ntrk3"
GO:0050926	regulation of positive chemotaxis	27	2	0.000346771	0.01289244	"F7,Ntrk3"
GO:0045662	negative regulation of myoblast differentiation	28	2	0.000373212	0.013397028	"Ddit3,Ankrd2"
GO:1902531	regulation of intracellular signal transduction	1533	7	0.000647877	0.02248133	"Arntl,F7,Ddit3,S100a4,Adcyap1r1,Ntrk3,Ankrd2"
GO:0050918	positive chemotaxis	41	2	0.000803066	0.026967466	"F7,Ntrk3"
GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress	45	2	0.000967136	0.028032476	"Ddit3,Ankrd2"
