Annot	Term	Annotated	Significant	Pvalue	Padj	GeneID
GO:0016126	GO:0016126	sterol biosynthetic process	50	18	4.17464187307769e-24	8.74234666650691e-21	Dhcr7,Dhcr24,Insig1,Tm7sf2,Cyp51,Sc5d,Fdps,Mvd,Lss,Nsdhl,Fdft1,Hsd17b7,Hmgcs2,Hmgcr,Mvk,Hmgcs1,Sqle,Msmo1
GO:0008610	GO:0008610	lipid biosynthetic process	499	39	4.99705439640292e-24	8.74234666650691e-21	Dhcr7,Dhcr24,Insig1,Tm7sf2,Pcyt2,Srd5a1,Fads2,Acly,Cyp51,Elovl4,Sc5d,Pip5k1b,Pigq,Stard4,Ldlr,Fdps,Mvd,Lss,Nsdhl,Fdft1,Acsl3,Hsd17b7,Mboat1,Hmgcs2,Elovl6,Cds2,Idi1,Acss2,Fa2h,Hmgcr,Mvk,Hsd17b12,Hmgcs1,Mid1ip1,Fitm1,Sqle,Ugt8a,Agpat3,Msmo1
GO:0006695	GO:0006695	cholesterol biosynthetic process	43	16	7.85325827061431e-22	8.56257602808571e-19	Dhcr7,Dhcr24,Insig1,Tm7sf2,Cyp51,Sc5d,Fdps,Mvd,Lss,Fdft1,Nsdhl,Hsd17b7,Hmgcs2,Hmgcr,Mvk,Hmgcs1
GO:0016125	GO:0016125	sterol metabolic process	124	22	1.11987152963033e-21	8.56257602808571e-19	Dhcr7,Dhcr24,Insig1,Tm7sf2,Cyp51,Sc5d,Ldlr,Fdps,Mvd,Lss,Nsdhl,Fdft1,Hsd17b7,Hmgcs2,Mbtps1,Srebf2,Hmgcr,Abca2,Mvk,Hmgcs1,Sqle,Msmo1
GO:1902653	GO:1902653	secondary alcohol biosynthetic process	44	16	1.22357473965214e-21	8.56257602808571e-19	Dhcr7,Dhcr24,Insig1,Tm7sf2,Cyp51,Sc5d,Fdps,Mvd,Lss,Fdft1,Nsdhl,Hsd17b7,Hmgcs2,Hmgcr,Mvk,Hmgcs1
GO:0008203	GO:0008203	cholesterol metabolic process	114	21	4.21575969082138e-21	2.458490526364e-18	Dhcr7,Dhcr24,Insig1,Tm7sf2,Cyp51,Sc5d,Ldlr,Fdps,Mvd,Lss,Nsdhl,Fdft1,Hsd17b7,Hmgcs2,Mbtps1,Srebf2,Hmgcr,Abca2,Mvk,Hmgcs1,Sqle
GO:1902652	GO:1902652	secondary alcohol metabolic process	118	21	9.02533478136373e-21	4.51137805714167e-18	Dhcr7,Dhcr24,Insig1,Tm7sf2,Cyp51,Sc5d,Ldlr,Fdps,Mvd,Lss,Nsdhl,Fdft1,Hsd17b7,Hmgcs2,Mbtps1,Srebf2,Hmgcr,Abca2,Mvk,Hmgcs1,Sqle
GO:0006629	GO:0006629	lipid metabolic process	1160	51	5.16671142773356e-20	2.25979041070497e-17	Dhcr7,Per2,Dhcr24,Angptl4,Insig1,Tm7sf2,Pcyt2,Srd5a1,Fads2,Acly,Cyp51,Elovl4,Sc5d,Efr3b,Pip5k1b,Pigq,Stard4,Ldlr,Fdps,Mvd,Dhrs3,Lss,Nsdhl,Fdft1,Xbp1,Acsl3,Hsd17b7,Mboat1,Hmgcs2,Adipor1,Elovl6,Cds2,Mbtps1,Idi1,Acss2,Fa2h,Srebf2,Hmgcr,Mtmr2,Abca2,Mvk,Hsd17b12,Hmgcs1,Mid1ip1,Fitm1,Sqle,Aacs,Ugt8a,Agpat3,Acat2,Msmo1
GO:0006694	GO:0006694	steroid biosynthetic process	145	21	7.87439830045878e-19	3.06139107258947e-16	Dhcr7,Dhcr24,Insig1,Tm7sf2,Srd5a1,Cyp51,Sc5d,Stard4,Fdps,Mvd,Lss,Nsdhl,Fdft1,Hsd17b7,Hmgcs2,Hmgcr,Mvk,Hsd17b12,Hmgcs1,Sqle,Msmo1
GO:0044711	GO:0044711	single-organism biosynthetic process	1174	48	1.4552092935436e-17	5.09177731810904e-15	Dhcr7,Per2,Azin1,Dhcr24,Insig1,Tm7sf2,Pcyt2,Rgcc,Srd5a1,Fads2,Acly,Cyp51,Elovl4,Sc5d,Col1a1,Pip5k1b,Adcy8,Pigq,Stard4,Ldlr,Pank3,Fdps,Mvd,Lss,Nsdhl,Fdft1,Acsl3,Hsd17b7,Mboat1,Hmgcs2,Adcy1,Elovl6,Cds2,Idi1,Acss2,Fa2h,Hmgcr,Cdh3,Mvk,Hsd17b12,Hmgcs1,Mid1ip1,Fitm1,Sqle,Ugt8a,Agpat3,Glul,Msmo1
GO:0008202	GO:0008202	steroid metabolic process	270	25	2.03138314823163e-17	6.46164512332953e-15	Dhcr7,Dhcr24,Insig1,Tm7sf2,Srd5a1,Cyp51,Sc5d,Stard4,Ldlr,Fdps,Mvd,Lss,Nsdhl,Fdft1,Hsd17b7,Hmgcs2,Mbtps1,Srebf2,Hmgcr,Abca2,Mvk,Hsd17b12,Hmgcs1,Sqle,Msmo1
GO:0006066	GO:0006066	alcohol metabolic process	242	23	2.32810049235356e-16	6.78835301895425e-14	Dhcr7,Dhcr24,Insig1,Tm7sf2,Cyp51,Sc5d,Ldlr,Fdps,Mvd,Dhrs3,Lss,Nsdhl,Fdft1,Hsd17b7,Hmgcs2,Mbtps1,Srebf2,Hmgcr,Mtmr2,Abca2,Mvk,Hmgcs1,Sqle
