Annot	Term	Annotated	Significant	Pvalue	Padj	GeneID
00100	00100	Steroid biosynthesis	18	11	4.94510057315031e-09	9.84075014056912e-07	Dhcr24,Tm7sf2,Cyp51,Sc5d,Lss,Fdft1,Hsd17b7,Nsdhl,Lipa,Sqle,Msmo1
00900	00900	Terpenoid backbone biosynthesis	14	9	7.12321825287706e-08	7.08760216161268e-06	Fdps,Mvd,Hmgcs2,Idi1,Pmvk,Hmgcr,Mvk,Hmgcs1,Acat2
01100	01100	Metabolic pathways	1175	129	1.16739343159369e-07	7.74370976290484e-06	Prdx6,Uqcrq,Odc1,Agps,Dhcr24,Nt5c2,Ctps,Rpn1,Acsm3,Cyp2j13,Hadhb,Tm7sf2,Pcyt2,Sucla2,Pon1,P4ha2,B3gnt5,Akr1a1,Ltc4s,Atp6v0d2,Rpn2,Mgll,Hexa,Hsd17b4,Agpat2,Acly,Cyp51,Atp6v0a1,Pla2g12a,Sc5d,Dgat2,Cox8a,Tpi1,Gba,Tph2,Tst,Agl,Pfkp,Nos2,Pon2,Pigq,Acaca,Ndufa4,Gusb,Acss1,Pfkl,Ogdhl,Prps1,Pank1,Fasn,Tbxas1,Ndst1,Sptlc2,Pank3,Fdps,Cox6b1,Mvd,Gpt,Dhrs3,Hprt,Lss,Pigu,Nsdhl,Pla2g5,Fdft1,Prodh,Sat1,Impdh1,Tpk1,Hsd17b7,Acsl3,Mboat1,Hmgcs2,Mgat1,Comt,Acadl,Mboat2,Ldha,Chpf,Rrm2b,Acacb,Cds2,St6gal1,Dnmt3l,Cox4i1,Bdh1,Pfkm,Lipf,Gamt,Sgms1,Dad1,Idi1,Acss2,Cds1,Pgd,Acads,Plcb4,Mecr,Pmvk,Mgat3,Ddost,Atp6v1b2,Ndufb10,Hmgcr,St3gal3,Dhrs4,Mvk,Itpkb,Mpi,Naglu,Aldh4a1,Tkt,Uqcr11,Hmgcs1,Aldh1a1,Alg2,Aldoc,Sqle,Gaa,Ugt8a,Acat2,Agpat3,G6pdx,Chpt1,Nmnat2,Glul,Hk3,St8sia5,Msmo1
04142	04142	Lysosome	122	26	3.79948398442111e-07	1.51682929252747e-05	Ctsd,Cd164,Tpp1,Igf2r,Atp6v0d2,Atp6v0a1,Ctsc,Ctsb,Hexa,Gba,Gusb,Psap,Cd68,Ctsz,Npc2,Cd63,Sort1,Ctsl,Abca2,Naglu,Lipa,Ctss,Gaa,Laptm5,Lgmn,Man2b1
04612	04612	Antigen processing and presentation	78	20	3.81112887569716e-07	1.51682929252747e-05	Hspa5,Creb1,Tapbp,H2-Aa,B2m,H2-D1,Ctsb,H2-K1,Hsp90ab1,H2-Eb1,Calr,Pdia3,H2-Q10,Hsp90aa1,Ctsl,Cd74,Ctss,Hspa8,Lgmn,H2-Ab1
04141	04141	Protein processing in endoplasmic reticulum	169	27	6.61936505606319e-05	0.00219542274359429	Dnajb11,Lman2,Hspa5,Rpn1,Casp12,Rpn2,Hsp90ab1,Calr,Wfs1,Hsp90b1,Ddit3,March6,Pdia3,Xbp1,Bcap31,Pdia6,Edem1,Mbtps1,Hsp90aa1,Dad1,Hsph1,Capn1,Ddost,Hyou1,Hspa8,Pdia4,Ube2j1
04662	04662	B cell receptor signaling pathway	76	16	7.93064224675346e-05	0.00225456829586277	Ikbkg,Nfat5,Pirb,Card11,Chp1,Syk,Nfkbib,Jun,Pik3r1,Pik3ap1,Pik3cb,Vav3,Pik3r5,Kras,Chp2,Btk
03320	03320	PPAR signaling pathway	80	16	0.000150803956221106	0.00375124841100001	Angptl4,Aqp7,Ppara,Fads2,Sorbs1,Lpl,Cd36,Ubc,Dbi,Scd2,Acsl3,Acadl,Hmgcs2,Nr1h3,Cpt1a,Pltp
00030	00030	Pentose phosphate pathway	28	8	0.000592818681082999	0.0131078797261685	Pfkp,Pfkl,Prps1,Pfkm,Pgd,Tkt,Aldoc,G6pdx
05145	05145	Toxoplasmosis	127	20	0.000697239713022608	0.0135147357032505	Ikbkg,Bcl2l1,Gnai2,Lamc1,H2-Aa,Pla2g12a,H2-Eb1,Itga6,Nos2,Ldlr,Nfkbib,Lama2,Pla2g5,Pik3r1,Pik3cb,Xiap,Pik3r5,Lamb1,Hspa8,H2-Ab1
