geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Xkr4	309.7462346	0.276015774	0.283397306	0.973953412	0.330079672	0.999929011
Rp1	1.902753368	5.162690972	4.001230651	1.290275773	0.196954925	0.999929011
Sox17	1492.653037	0.276652377	0.15637735	1.769133301	0.076871632	0.994573439
Mrpl15	722.0291944	0.076666108	0.197892156	0.387413575	0.698450055	0.999929011
Lypla1	1559.482046	0.093342962	0.143767947	0.649261284	0.516169506	0.999929011
Tcea1	3607.074483	-0.076247846	0.108553858	-0.702396462	0.482431951	0.999929011
Rgs20	7.402061753	-1.92889878	1.784437508	-1.080956196	0.279716599	0.999929011
Atp6v1h	1629.492303	-0.043908477	0.130315572	-0.336939604	0.736162429	0.999929011
Oprk1	0.483103054	0.48642235	4.080438887	0.119208341	0.905110299	0.999929011
Npbwr1	0	NA	NA	NA	NA	NA
Rb1cc1	3040.932633	-0.126306332	0.095737479	-1.319298694	0.187069274	0.999929011
Fam150a	0.62295933	3.771246369	4.012073074	0.939974497	0.347230642	0.999929011
St18	1.376118662	3.599631765	4.014281985	0.896706255	0.369875682	0.999929011
Pcmtd1	4166.526847	-0.089953957	0.080718379	-1.114417293	0.265100208	0.999929011
Sntg1	12.74052845	-0.918563906	1.63491956	-0.561840428	0.574224745	0.999929011
Rrs1	911.1689139	-0.206255115	0.153514733	-1.343552572	0.179093115	0.999929011
Adhfe1	1226.186206	-0.301850261	0.357107036	-0.84526551	0.397962613	0.999929011
2610203C22Rik	24.31882432	-0.193725104	0.97145814	-0.199416831	0.841936696	0.999929011
3110035E14Rik	8.46083223	0.56338138	2.073171385	0.27174858	0.785815345	0.999929011
Mybl1	178.0420799	-0.103622407	0.361867659	-0.28635443	0.774606674	0.999929011
Vcpip1	1287.476288	0.052198403	0.154067526	0.338802107	0.734758814	0.999929011
1700034P13Rik	3.563974461	-2.939841469	2.340558936	-1.256042488	0.209100566	0.999929011
Sgk3	1267.822206	0.306386707	0.165802254	1.847904354	0.064616181	0.981685244
Mcmdc2	4.507987441	-4.566233814	2.962052844	-1.541577431	0.123176313	0.999929011
Snhg6	195.5408855	-0.011373636	0.254704468	-0.044654245	0.964382904	0.999929011
Snord87	0	NA	NA	NA	NA	NA
Tcf24	66.87626844	0.967448091	0.696576778	1.388860672	0.164875122	0.999929011
Ppp1r42	3.777514889	0.563055441	3.184112456	0.176832775	0.859639744	0.999929011
Cops5	1946.882646	-0.042479711	0.116522173	-0.364563322	0.715437398	0.999929011
Cspp1	528.902532	0.055965089	0.22000387	0.254382293	0.799200229	0.999929011
Arfgef1	2595.554685	0.043531784	0.10550938	0.412586858	0.679909331	0.999929011
Cpa6	0	NA	NA	NA	NA	NA
Mir467e	0	NA	NA	NA	NA	NA
Prex2	5883.75066	0.15541126	0.08817679	1.762496224	0.077985494	0.996139256
A830018L16Rik	30.0064284	0.293205165	0.887652843	0.33031513	0.741161862	0.999929011
Mir6341	0	NA	NA	NA	NA	NA
Gm17644	0	NA	NA	NA	NA	NA
Sulf1	2870.754186	-0.259483166	0.216144651	-1.200506998	0.229942496	0.999929011
Slco5a1	8.138528902	1.144775699	1.571657905	0.728387327	0.466376519	0.999929011
Prdm14	1.470715033	4.057238677	4.008926007	1.012051275	0.311513538	0.999929011
